Starting negotiation session.
Round 1
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 2
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 3
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 4
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 5
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 6
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 7
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 8
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 9
  Turn 1: negotiator.parties.NegotiationPartyInternal@299e30c0 (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@5092a298 (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: None, ])
  Turn 3: negotiator.parties.NegotiationPartyInternal@4af0d27b (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 10
