Starting negotiation session.
Round 1
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 2
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 3
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 4
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 5
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 6
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 7
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 8
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 9
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 10
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 11
  Turn 1: negotiator.parties.NegotiationPartyInternal@7b09148d (Offer: Bid[Pie: a1000, ])
  Turn 2: negotiator.parties.NegotiationPartyInternal@11247416 (Offer: Bid[Pie: a0, ])
Round 12
